num_facilities,overall_rating,rn_hours_total,staff_turnover_pct,total_fines,total_payment_denials,hosp_per_1000_residents,falls_with_injury,pressure_ulcers,uti_pct,catheter_pct,mobility_decline_pct,restrained_pct,incontinence_pct,weight_loss_pct,depression_pct
5.0,2.2,0.7,59.5,10.0,3.0,2.1,2.7,6.5,3.2,1.3,17.5,0.0,25.6,7.7,4.8
9.0,2.3,0.5,44.6,11.0,0.0,2.4,1.7,7.0,0.4,0.3,5.8,0.5,15.0,3.8,13.6
5.0,1.6,0.3,60.9,6.0,4.0,3.2,1.3,10.6,1.9,1.7,31.1,0.3,19.4,2.5,1.3
7.0,4.1,0.8,41.3,5.0,0.0,1.5,3.9,3.7,0.9,0.1,15.1,0.0,24.7,5.3,5.5
2.0,4.0,2.2,19.4,1.0,0.0,1.2,1.5,1.7,4.6,8.1,28.8,0.0,13.8,8.5,1.8
20.0,2.6,0.8,53.4,23.0,13.0,2.1,4.8,5.7,1.7,0.4,21.9,0.1,20.7,5.6,9.5
6.0,1.8,0.4,60.2,9.0,1.0,1.6,4.0,7.3,4.1,0.7,14.1,0.0,24.2,9.6,1.4
5.0,4.2,0.6,37.4,3.0,0.0,2.0,2.3,5.0,1.2,0.1,15.3,0.2,22.9,6.6,1.4
30.0,3.5,0.7,40.5,41.0,4.0,2.3,1.6,4.0,0.7,0.9,11.0,0.3,13.7,2.5,4.4
14.0,2.4,0.4,62.1,9.0,3.0,2.1,3.2,4.3,3.8,1.5,21.6,0.0,17.5,3.9,6.2
30.0,2.6,0.4,54.7,31.0,0.0,1.7,2.6,5.7,0.0,0.1,9.4,0.0,18.6,7.5,1.7
27.0,1.7,0.5,31.8,41.0,9.0,2.0,3.8,3.9,1.8,0.9,17.6,0.0,24.3,5.5,10.4
13.0,2.5,0.7,46.5,13.0,7.0,1.9,3.5,6.1,1.5,1.9,14.0,0.0,13.9,7.2,64.5
28.0,3.4,0.5,45.3,25.0,1.0,1.6,3.2,4.4,1.0,0.4,11.1,0.0,25.0,4.4,18.4
26.0,3.2,0.7,48.1,15.0,6.0,1.8,3.1,4.8,2.1,0.9,10.3,0.0,10.6,6.2,4.7
6.0,3.3,1.2,39.8,4.0,0.0,2.0,2.3,7.6,3.2,0.7,20.8,0.2,26.7,5.0,2.9
5.0,2.8,0.5,52.8,4.0,0.0,2.0,2.2,8.5,2.1,0.9,29.4,0.0,21.5,5.0,9.9
60.0,2.8,0.5,44.9,50.0,2.0,1.6,1.7,5.7,0.8,0.4,21.5,0.0,24.5,5.8,23.2
13.0,3.2,1.0,39.2,8.0,0.0,1.2,3.1,4.0,1.8,0.6,19.1,0.0,22.7,3.3,7.9
33.0,2.9,0.7,39.4,30.0,4.0,1.5,2.4,6.1,1.7,1.3,22.6,0.0,21.7,5.6,13.0
11.0,2.9,0.5,46.4,4.0,1.0,2.0,2.1,7.0,0.1,0.2,7.6,0.0,11.4,7.1,4.8
12.0,1.9,0.4,58.7,13.0,7.0,2.1,2.8,5.6,0.6,0.5,8.8,0.1,23.8,7.0,6.0
12.0,3.7,1.1,39.6,7.0,1.0,1.6,5.4,4.6,2.3,3.5,19.8,0.0,23.2,5.0,2.2
52.0,2.1,0.5,48.5,140.0,2.0,2.2,2.7,5.5,0.5,0.6,12.3,0.0,13.3,6.9,2.7
11.0,1.4,0.6,66.9,12.0,10.0,2.3,4.0,4.7,1.8,1.9,22.3,0.4,26.2,6.4,7.8
8.0,2.4,0.5,43.1,6.0,1.0,1.6,2.5,7.6,2.0,0.5,10.7,0.0,19.8,5.5,6.6
71.0,2.2,0.3,59.6,141.0,13.0,2.2,3.7,4.3,0.3,0.2,13.5,0.0,11.7,2.6,1.9
6.0,1.3,0.6,53.5,12.0,9.0,2.9,7.3,8.0,1.2,0.9,24.7,0.0,23.4,6.2,20.1
11.0,2.5,0.4,50.6,7.0,1.0,2.0,2.5,3.0,0.3,0.1,4.1,0.0,20.7,6.9,26.1
9.0,1.9,0.6,51.6,7.0,3.0,2.0,4.6,4.8,3.9,3.1,31.2,0.2,25.5,4.4,7.1
10.0,3.0,0.6,40.1,0.0,0.0,1.9,2.2,7.1,3.3,2.3,16.1,0.3,10.0,4.9,0.4
9.0,3.9,0.5,40.5,4.0,0.0,1.3,3.5,4.3,1.3,0.2,15.9,0.0,20.0,5.0,2.9
12.0,3.1,0.5,45.8,47.0,5.0,2.0,1.9,3.6,0.5,0.3,13.7,0.0,9.0,4.4,5.2
17.0,1.2,0.4,52.9,11.0,4.0,1.5,3.1,6.5,1.4,1.2,26.1,0.1,20.6,4.8,5.6
13.0,2.3,0.6,35.0,16.0,2.0,2.2,3.0,6.7,1.1,0.9,16.3,0.1,17.6,4.5,3.1
5.0,2.0,0.6,61.8,14.0,0.0,1.3,1.2,2.5,1.6,0.1,10.4,0.0,18.3,1.4,12.4
7.0,2.9,0.5,54.7,12.0,3.0,3.3,4.4,6.1,2.5,2.5,31.4,0.7,26.1,9.3,9.2
10.0,2.2,0.4,45.6,27.0,3.0,2.0,1.9,5.3,0.8,0.7,13.7,0.0,21.0,8.0,3.0
8.0,1.1,0.6,66.5,25.0,17.0,2.0,2.2,8.7,1.6,2.2,17.8,0.2,27.6,6.6,3.0
22.0,3.0,1.0,49.4,21.0,5.0,1.6,4.3,6.3,2.4,1.1,23.0,0.0,25.7,3.8,3.4
58.0,3.2,0.6,47.0,51.0,0.0,2.1,3.3,6.6,0.9,0.5,15.4,0.0,19.5,5.1,11.3
10.0,2.0,0.5,38.9,10.0,1.0,2.3,3.4,4.6,1.1,0.9,23.3,0.1,26.8,4.1,5.5
15.0,2.3,0.3,54.1,17.0,2.0,2.3,4.0,5.1,3.7,2.3,19.1,0.0,12.4,3.2,1.6
7.0,3.7,1.5,53.3,1.0,0.0,2.4,5.6,4.3,2.2,1.7,19.4,0.0,33.8,7.5,11.2
3.0,4.0,0.8,51.3,1.0,0.0,2.1,6.9,6.5,2.4,0.0,35.6,0.0,17.4,4.8,1.7
2.0,1.0,0.2,73.7,4.0,0.0,3.2,3.8,6.4,4.9,3.0,25.7,0.0,11.1,7.7,11.8
15.0,2.7,0.5,47.0,12.0,0.0,1.9,3.4,5.7,1.6,0.9,17.5,0.0,20.4,7.5,35.0
5.0,1.6,0.9,43.0,5.0,1.0,1.6,4.0,7.1,1.0,1.2,21.5,0.0,28.0,7.4,2.3
5.0,2.2,0.8,52.4,3.0,1.0,1.7,7.6,5.3,1.3,0.4,30.2,0.0,27.1,5.4,1.8
5.0,2.0,0.2,46.1,7.0,0.0,2.4,3.7,3.4,0.9,0.2,14.1,0.0,16.3,3.6,1.0
11.0,2.5,0.3,78.4,6.0,1.0,2.2,4.2,3.3,0.7,3.5,16.5,0.0,16.1,3.3,3.6
15.0,1.2,0.5,57.3,81.0,25.0,2.5,2.4,5.5,0.2,0.4,6.2,0.1,17.8,6.2,94.7
